tick,population,speed,vision,size,hungry,fertility
17131,112,1.196417192356036,78.54934322709492,12.210844505036249,32.31664839474597,69.0275652774995
17132,111,1.1960516036535818,78.57898323314517,12.217235152561358,32.31754431396965,69.10039166434821
17133,110,1.197182636067948,78.41744394098747,12.20181214625997,32.34556219967626,69.07806027600262
17134,109,1.1964831903755868,78.31079632479593,12.17832700796101,32.343316779472374,69.12026368433365
17135,109,1.1964831903755868,78.31079632479593,12.17832700796101,32.343316779472374,69.12026368433365
17136,109,1.1964831903755868,78.31079632479593,12.17832700796101,32.343316779472374,69.12026368433365
17137,109,1.1964831903755868,78.31079632479593,12.17832700796101,32.343316779472374,69.12026368433365
17138,110,1.1966075057314445,78.35768245057409,12.166203524659927,32.40774969920641,69.08387694054689
17139,110,1.1966075057314445,78.35768245057409,12.166203524659927,32.40774969920641,69.08387694054689
17140,110,1.1966075057314445,78.35768245057409,12.166203524659927,32.40774969920641,69.08387694054689
17141,109,1.1970258344097247,78.31178795332129,12.160369265066537,32.39043206264331,69.14215970850361
17142,109,1.1970258344097247,78.31178795332129,12.160369265066537,32.39043206264331,69.14215970850361
17143,109,1.1970258344097247,78.31178795332129,12.160369265066537,32.39043206264331,69.14215970850361
17144,109,1.1970258344097247,78.31178795332129,12.160369265066537,32.39043206264331,69.14215970850361
17145,109,1.1970258344097247,78.31178795332129,12.160369265066537,32.39043206264331,69.14215970850361
17146,110,1.197309676903308,78.37156157626814,12.142061263503113,32.41627268567089,69.11655392964947
17147,110,1.197309676903308,78.37156157626814,12.142061263503113,32.41627268567089,69.11655392964947
17148,110,1.197309676903308,78.37156157626814,12.142061263503113,32.41627268567089,69.11655392964947
17149,110,1.197309676903308,78.37156157626814,12.142061263503113,32.41627268567089,69.11655392964947
17150,111,1.1964617093673113,78.44303646852765,12.13652203529939,32.414244174111836,69.07868332595291
17151,112,1.1969509660453006,78.37034932010246,12.139076426618361,32.441056710817705,69.14309241120066
