tick,population,speed,vision,size,hungry,fertility
8955,102,1.017403792,77.98036208,12.49481722,31.2518139,85.07644694
8956,102,1.017403792,77.98036208,12.49481722,31.2518139,85.07644694
8957,102,1.017403792,77.98036208,12.49481722,31.2518139,85.07644694
8958,102,1.017403792,77.98036208,12.49481722,31.2518139,85.07644694
8959,102,1.017403792,77.98036208,12.49481722,31.2518139,85.07644694
8960,102,1.017403792,77.98036208,12.49481722,31.2518139,85.07644694
8961,102,1.017403792,77.98036208,12.49481722,31.2518139,85.07644694
8962,102,1.017403792,77.98036208,12.49481722,31.2518139,85.07644694
8963,102,1.017403792,77.98036208,12.49481722,31.2518139,85.07644694
8964,102,1.017403792,77.98036208,12.49481722,31.2518139,85.07644694
8965,102,1.017403792,77.98036208,12.49481722,31.2518139,85.07644694
8966,102,1.017403792,77.98036208,12.49481722,31.2518139,85.07644694
8967,102,1.017403792,77.98036208,12.49481722,31.2518139,85.07644694
8968,101,1.017615705,77.99432099,12.48685351,31.24412131,85.10362954
8969,101,1.017615705,77.99432099,12.48685351,31.24412131,85.10362954
8970,101,1.017615705,77.99432099,12.48685351,31.24412131,85.10362954
8971,101,1.017615705,77.99432099,12.48685351,31.24412131,85.10362954
8972,101,1.017615705,77.99432099,12.48685351,31.24412131,85.10362954
8973,101,1.017615705,77.99432099,12.48685351,31.24412131,85.10362954
8974,101,1.017615705,77.99432099,12.48685351,31.24412131,85.10362954
8975,102,1.019664474,77.9353157,12.47500342,31.21374402,85.04492972
8976,102,1.019664474,77.9353157,12.47500342,31.21374402,85.04492972
8977,102,1.019664474,77.9353157,12.47500342,31.21374402,85.04492972
8978,101,1.02047307,77.87126418,12.47071977,31.1929424,85.0883237
8979,101,1.02047307,77.87126418,12.47071977,31.1929424,85.0883237
8980,101,1.02047307,77.87126418,12.47071977,31.1929424,85.0883237
8981,101,1.02047307,77.87126418,12.47071977,31.1929424,85.0883237
8982,101,1.02047307,77.87126418,12.47071977,31.1929424,85.0883237
8983,100,1.02054557,77.79997702,12.45725423,31.18242337,85.08958272
8984,101,1.020262853,77.84842087,12.46295026,31.20882767,85.08213138
8985,101,1.020262853,77.84842087,12.46295026,31.20882767,85.08213138
8986,101,1.020262853,77.84842087,12.46295026,31.20882767,85.08213138
8987,101,1.020262853,77.84842087,12.46295026,31.20882767,85.08213138
8988,101,1.020262853,77.84842087,12.46295026,31.20882767,85.08213138
8989,100,1.0198922,77.90653755,12.47302008,31.20464345,85.0029044
8990,100,1.0198922,77.90653755,12.47302008,31.20464345,85.0029044
8991,100,1.0198922,77.90653755,12.47302008,31.20464345,85.0029044
8992,100,1.0198922,77.90653755,12.47302008,31.20464345,85.0029044
8993,100,1.0198922,77.90653755,12.47302008,31.20464345,85.0029044
8994,99,1.020206731,77.94196,12.47344626,31.19457374,85.06419078
8995,99,1.020206731,77.94196,12.47344626,31.19457374,85.06419078
8996,99,1.020206731,77.94196,12.47344626,31.19457374,85.06419078
8997,100,1.019997319,77.87763447,12.48929079,31.18448554,85.1019477
8998,99,1.020624572,77.91435739,12.48633407,31.17689871,85.15023576
8999,99,1.020624572,77.91435739,12.48633407,31.17689871,85.15023576
9000,99,1.020624572,77.91435739,12.48633407,31.17689871,85.15023576
9001,99,1.020624572,77.91435739,12.48633407,31.17689871,85.15023576
9002,99,1.020624572,77.91435739,12.48633407,31.17689871,85.15023576
9003,98,1.019997247,77.98684876,12.49737605,31.18729816,85.25908602
9004,99,1.019168124,77.99088374,12.50374704,31.20244251,85.24937549
9005,99,1.019168124,77.99088374,12.50374704,31.20244251,85.24937549
9006,99,1.019168124,77.99088374,12.50374704,31.20244251,85.24937549
9007,99,1.019168124,77.99088374,12.50374704,31.20244251,85.24937549
9008,99,1.019168124,77.99088374,12.50374704,31.20244251,85.24937549
9009,99,1.019168124,77.99088374,12.50374704,31.20244251,85.24937549
9010,99,1.019168124,77.99088374,12.50374704,31.20244251,85.24937549
9011,99,1.019168124,77.99088374,12.50374704,31.20244251,85.24937549
9012,99,1.019168124,77.99088374,12.50374704,31.20244251,85.24937549
9013,99,1.019168124,77.99088374,12.50374704,31.20244251,85.24937549
9014,99,1.019168124,77.99088374,12.50374704,31.20244251,85.24937549
9015,99,1.019168124,77.99088374,12.50374704,31.20244251,85.24937549
9016,99,1.019168124,77.99088374,12.50374704,31.20244251,85.24937549
9017,100,1.018564471,77.95896813,12.4924279,31.20831587,85.2474319
9018,100,1.018564471,77.95896813,12.4924279,31.20831587,85.2474319
9019,100,1.018564471,77.95896813,12.4924279,31.20831587,85.2474319
9020,100,1.018564471,77.95896813,12.4924279,31.20831587,85.2474319
9021,100,1.018564471,77.95896813,12.4924279,31.20831587,85.2474319
9022,101,1.017581874,78.01453341,12.49919288,31.24513255,85.21380444
9023,101,1.017581874,78.01453341,12.49919288,31.24513255,85.21380444
9024,102,1.017303566,78.09223557,12.49319534,31.23205655,85.14832315
9025,101,1.018127834,78.03552233,12.4924626,31.21489513,85.18447875
9026,101,1.018127834,78.03552233,12.4924626,31.21489513,85.18447875
9027,100,1.017782308,78.01207818,12.49512787,31.23868917,85.12534257
9028,100,1.017782308,78.01207818,12.49512787,31.23868917,85.12534257
9029,100,1.017782308,78.01207818,12.49512787,31.23868917,85.12534257
9030,100,1.017782308,78.01207818,12.49512787,31.23868917,85.12534257
9031,100,1.017782308,78.01207818,12.49512787,31.23868917,85.12534257
9032,100,1.017782308,78.01207818,12.49512787,31.23868917,85.12534257
9033,100,1.017782308,78.01207818,12.49512787,31.23868917,85.12534257
9034,99,1.017978663,78.09328217,12.50085502,31.23789232,85.08032576
9035,98,1.01818049,78.05240751,12.49313152,31.21059788,85.08606688
